"","x"
"729","RHOJ"
"730","AC010967.1"
"731","P3H2"
"732","AC034195.1"
"733","BRINP2"
"734","LINC01091"
"735","ID3"
"736","NPNT"
"737","DPP6"
"738","DDAH1"
"739","DKK2"
"740","WWOX"
"741","DTL"
"742","RGS1"
"743","MIR137HG"
"744","SPATA6"
"745","PIK3C2G"
"746","LRRC3B"
"747","AL606516.1"
"748","NPSR1-AS1"
"749","KCNIP1"
"750","PRKCA"
"751","MIR646HG"
"752","BOC"
"753","KCNQ3"
"754","AC090578.1"
"755","SFMBT2"
"756","AL163541.1"
"757","MEGF10"
"758","NREP-AS1"
"759","LAMA3"
"760","RIN3"
"761","EDNRA"
"762","SYNE2"
"763","PLAU"
"764","SULT1E1"
"765","CFAP73"
"766","ITGA8"
"767","COL12A1"
"768","CD36"
"769","CDCA2"
"770","FSTL4"
"771","ZFHX4-AS1"
"772","ARMC3"
"773","DCDC1"
"774","TCF7L1"
"775","KIF15"
"776","EGR1"
"777","KCNJ3"
"778","MYRIP"
"779","VWC2L"
"780","AC079142.1"
"781","AC073091.3"
"782","ZEB1-AS1"
"783","EPHA4"
"784","AC004875.1"
"785","AL513166.1"
"786","NFIA-AS2"
"787","SLC16A12"
"788","ITGAX"
"789","DTNA"
"790","AGBL4"
"791","ANOS1"
"792","LINC02645"
"793","AC024901.1"
"794","NAA11"
"795","CDH7"
"796","SLC8A1"
"797","MDFIC"
"798","TMEM178A"
"799","KIF23"
"800","AC080132.1"
"801","RUNX1"
"802","MGST1"
"803","AC091078.1"
"804","CDK1"
"805","VAV3"
"806","LUCAT1"
"807","EYS"
"808","ADGRL4"
"809","PRAG1"
"810","LINC01483"
"811","GRAMD1B"
"812","COL24A1"
"813","DNAH11"
"814","GRIN2B"
"815","AC068051.1"
"816","SDC2"
"817","IMMP2L"
"818","ESAM"
"819","AC073475.1"
"820","CD74"
"821","TNFSF18"
"822","AC069410.1"
"823","GRM7-AS3"
"824","ARAP2"
"825","MIS18BP1"
"826","FMN1"
"827","AC020718.1"
"828","RTKN2"
"829","AC073050.1"
"830","PPFIBP1"
"831","MROH9"
"832","AC007262.2"
"833","CLU"
"834","FOXO1"
"835","LRMP"
"836","PARPBP"
"837","LINC01374"
"838","ESRRG"
"839","NELL2"
"840","RNLS"
"841","CSF2RA"
"842","GPR158"
"843","CCNB1"
"844","MARCH11"
"845","OLR1"
"846","ARHGAP42"
"847","MIR2052HG"
"848","SP100"
"849","LINC01266"
"850","TTK"
"851","MID1"
"852","POLQ"
"853","EPAS1"
"854","LINC01725"
"855","PDGFC"
"856","PECAM1"
"857","CRADD"
"858","GPC4"
"859","SLC27A6"
"860","PACRG"
"861","HAS2"
"862","UBE2E2"
"863","LIFR"
"864","AL807742.1"
"865","LEF1"
"866","AC017053.1"
"867","AP005230.1"
"868","LIPG"
"869","PGF"
"870","LINC01122"
"871","RANBP3L"
"872","NDST3"
"873","AL008633.1"
"874","AC083837.1"
"875","RGS7"
"876","FOLH1"
"877","GADL1"
"878","OLIG1"
"879","AC083864.5"
"880","ACVR1C"
"881","RASSF8"
"882","LINC00499"
"883","AC002072.1"
"884","PLCB4"
"885","HULC"
"886","SLC2A13"
"887","AC139720.1"
"888","SLCO4C1"
"889","AC013652.1"
"890","MIR4500HG"
"891","AC046195.1"
"892","CAMKMT"
"893","LINC01162"
"894","PON2"
"895","STON2"
"896","GAB3"
"897","SAMD3"
"898","KCNN2"
"899","AC004594.1"
"900","HCN1"
"901","NECAB1"
"902","EFEMP1"
"903","GABRB2"
"904","PANTR1"
"905","CASC17"
"906","ATP13A4"
"907","ERG"
"908","SEZ6L"
"909","AC104574.2"
"910","RASGRF2"
"911","SLC24A3"
"912","CTNNA3"
"913","FAM135B"
"914","ACTN2"
"915","LINC01035"
"916","C1orf143"
"917","AL392172.2"
"918","GBX1"
"919","LINC01602"
"920","AC110611.2"
"921","AC091096.1"
"922","AC008574.1"
"923","AC132803.1"
"924","P2RY12"
"925","AC079304.1"
"926","ECSCR"
"927","TCF7L2"
"928","SLC35F1"
"929","HIST1H1B"
"930","CD84"
"931","SUCLG2"
"932","FBXO32"
"933","ZBTB16"
"934","PTH2R"
"935","DAAM2"
"936","PDZD2"
"937","CA8"
"938","EDA"
"939","ZMAT4"
"940","PAG1"
"941","AL359232.1"
"942","RFC3"
"943","TNFSF10"
"944","TGFBR2"
"945","COBL"
"946","AC097511.1"
"947","KLHL4"
"948","HMGB2"
"949","AC021851.2"
"950","CCN2"
"951","SOX1-OT"
"952","TGFBI"
"953","SUGCT"
"954","ITGAL"
"955","Z83818.2"
"956","CYYR1"
"957","ITM2A"
"958","PAUPAR"
"959","AC016766.1"
"960","AC009975.1"
"961","PLCL1"
"962","LINC01094"
"963","DCN"
"964","NEIL3"
"965","RBMS1"
"966","AC021504.1"
"967","MARCH3"
"968","IGF1"
"969","ATAD2"
"970","PTPRR"
"971","RNF144B"
"972","KCNMA1"
"973","ADAMTS9"
"974","AC008691.1"
"975","P2RY14"
"976","TTC6"
"977","AL354771.1"
"978","ARHGEF28"
"979","ANLN"
"980","TAC3"
"981","ARX"
"982","ADCY8"
"983","CNR1"
"984","AC093865.1"
"985","EDIL3"
"986","CCL3L1"
"987","C3"
"988","MMD2"
"989","DPH6-DT"
"990","LINC01606"
"991","GRM3"
"992","LAMA1"
"993","PAPPA2"
"994","MBNL3"
"995","LINC01440"
"996","TANC1"
"997","RSPO3"
"998","MAP3K1"
"999","RERGL"
"1000","TEX41"
"1001","AC117834.1"
"1002","VEPH1"
"1003","MFSD2A"
"1004","NPL"
"1005","DSCAML1"
"1006","CHODL"
"1007","PALLD"
"1008","SLCO6A1"
"1009","AC073332.1"
"1010","PRLR"
"1011","ZNF704"
"1012","LINC02267"
"1013","CXXC4-AS1"
"1014","MT1E"
"1015","LINC02752"
"1016","PDE4B"
"1017","PDLIM5"
"1018","AF121898.1"
"1019","LHFPL3-AS1"
"1020","AC022655.1"
"1021","FAM153CP"
"1022","NOS1"
"1023","CACNB2"
"1024","CENPP"
"1025","AL137139.2"
"1026","AC114930.1"
"1027","THSD4"
"1028","STS"
"1029","RXFP2"
"1030","NRCAM"
"1031","AL122014.1"
"1032","LINC01727"
"1033","PCBP3"
"1034","PLSCR4"
"1035","C21orf58"
"1036","CCDC178"
"1037","AC008014.1"
"1038","GLRA3"
"1039","CDON"
"1040","CASC15"
"1041","NTM"
"1042","LINC00996"
"1043","SHROOM4"
"1044","PLCXD3"
"1045","PRICKLE1"
"1046","SLC17A6"
"1047","PBK"
"1048","APLN"
"1049","CGNL1"
"1050","TENM1"
"1051","FGF10"
"1052","GIMAP7"
"1053","CADM2"
"1054","ELF1"
"1055","ABHD3"
"1056","LINC01194"
"1057","ADGRL2"
"1058","TSHZ3"
"1059","AL158077.2"
"1060","AP000829.1"
"1061","GABRA2"
"1062","AC007364.1"
"1063","ENTPD1"
"1064","LINC01572"
"1065","RFTN2"
"1066","ARHGAP20"
"1067","DOCK2"
"1068","KLHL29"
"1069","CALB2"
"1070","FNDC1"
"1071","BBX"
"1072","GREM2"
"1073","AC117834.2"
"1074","FRMPD2"
"1075","TNR"
"1076","CALCRL"
"1077","ARHGAP26"
"1078","GRM1"
"1079","AC019330.1"
"1080","AC005323.2"
"1081","TNS3"
"1082","SUCLG2-AS1"
"1083","KLHL14"
"1084","ADCY2"
"1085","AC090531.1"
"1086","LINC01811"
"1087","AL442163.1"
"1088","MEG3"
"1089","SLC25A21"
"1090","TFPI"
"1091","DIO2"
"1092","MCC"
"1093","AC009264.1"
"1094","BRCA2"
"1095","NR3C1"
"1096","GTSE1"
"1097","BCHE"
"1098","SVEP1"
"1099","CEP112"
"1100","AL109930.1"
"1101","AC104123.1"
"1102","KANK1"
"1103","CFAP157"
"1104","RASSF9"
"1105","LINC01414"
"1106","MAP3K5"
"1107","ADRA1A"
"1108","TMEM144"
"1109","ADGRL3"
"1110","AC108721.2"
"1111","SOX2"
"1112","GAS7"
"1113","AC079793.1"
"1114","CEBPD"
"1115","HLA-E"
"1116","NEAT1"
"1117","CPM"
"1118","AC113414.1"
"1119","AC109927.1"
"1120","COL5A2"
"1121","EYA2"
"1122","SH3RF1"
"1123","TENM4"
"1124","UST"
"1125","DISC1"
"1126","MSRA"
"1127","ABLIM1"
"1128","ARHGAP6"
"1129","AL162725.2"
"1130","DCHS2"
"1131","HDAC9"
"1132","POT1-AS1"
"1133","AC093898.1"
"1134","TENT5A"
"1135","SORBS2"
"1136","PPP4R4"
"1137","KLHL13"
"1138","FYB2"
"1139","BARD1"
"1140","LINC00639"
"1141","AL353072.2"
"1142","AL157911.1"
"1143","GALNT10"
"1144","PHLPP1"
"1145","NHS"
"1146","SYN2"
"1147","LINC02301"
"1148","AL391117.1"
"1149","AC005537.1"
"1150","LYPD6"
"1151","CDC14A"
"1152","TMEM123"
"1153","AL356108.1"
"1154","IGFBP5"
"1155","EVA1C"
"1156","AC124854.1"
"1157","GALNT17"
"1158","LAMA4"
"1159","FSIP2-AS1"
"1160","FGL1"
"1161","AC078881.1"
"1162","MAN1A1"
"1163","CXorf21"
"1164","DOCK9"
"1165","OXR1"
"1166","LRRC1"
"1167","BMP6"
"1168","CCDC170"
"1169","MPPED2"
"1170","AC083862.3"
"1171","ST8SIA6"
"1172","NEDD4"
"1173","SPC25"
"1174","AC079352.1"
"1175","ITPRID1"
"1176","PDE8B"
"1177","NEK7"
"1178","IL1RAP"
